,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapport : UMCC0008,,,,,,,Horaire des cours et des examens,,,,,,,,,,,,,,,,,,,,,,,Page   : 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date   : 2024-07-07,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heure : 13:32:47,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faculté,Faculté DL,Comp. Univ.,Comp DL,Cheminement,Mat.,Num. rép.,Sect.,Titre,Volet,No. cours,Cours associé,Sect. Combinée,Code sect. comb.,Descr. sect. comb.,Statut,Mode,Session,Jour,De,A,Du,Au,Première date No. Cours,Dernière date No. Cours,Campus,Cap.,Inscr. Max,Inscr.,Approb. Inscr.,Nom enseignant 1,Type enseignant 1,Nom enseignant 2,Type enseignant 2,Nom enseignant 3,Type enseignant 3,Valeurs attributs cours,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3021,A,Le cinéma japonais,TH,2419 ,1,,,,Actif,P,1,Je,08:30,11:29,2025-03-13,2025-04-10,2025-01-09,2025-04-17,Montréal,34,34,10,N,,,,,,,  CHOIX/HP/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3021,A,Le cinéma japonais,Final,2419 ,1,,,,Actif,P,1,Je,08:30,11:29,2025-04-17,2025-04-17,2025-01-09,2025-04-17,Montréal,34,34,10,,,,,,,,  CHOIX/HP/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3500,A,Travail dirigé en ét. asiat.,TH,3872 ,1,,,,Actif,P,1,,00:00,00:00,2025-01-08,2025-04-30,2025-01-08,2025-04-30,Montréal,10,10,1,N,,,,,,,  J/M,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3610,A,Enjeux pol./écon.Asie de l'est,TH,3804 ,1,,,,Actif,P,1,Ma,15:30,18:29,2025-01-14,2025-02-25,2025-01-14,2025-04-15,Montréal,21,21,1,N,,,,,,,  CAFF/CHOIX/HP/I/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3610,A,Enjeux pol./écon.Asie de l'est,TH,3804 ,1,,,,Actif,P,1,Ma,15:30,18:29,2025-03-11,2025-04-08,2025-01-14,2025-04-15,Montréal,21,21,1,N,,,,,,,  CAFF/CHOIX/HP/I/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3610,A,Enjeux pol./écon.Asie de l'est,Final,3804 ,1,,,,Actif,P,1,Ma,15:30,18:29,2025-04-15,2025-04-15,2025-01-14,2025-04-15,Montréal,21,21,1,,,,,,,,  CAFF/CHOIX/HP/I/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3915,A,Recherches études asiatiques,TH,2830 ,1,,,,Actif,P,1,Ve,12:30,15:29,2025-01-10,2025-02-28,2025-01-10,2025-04-25,Montréal,34,34,3,N,"Bernier,Bernard",PI,,,,,  CAFF/CHOIX/EX/HP/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3915,A,Recherches études asiatiques,TH,2830 ,1,,,,Actif,P,1,Ve,12:30,15:29,2025-03-14,2025-04-11,2025-01-10,2025-04-25,Montréal,34,34,3,N,"Bernier,Bernard",PI,,,,,  CAFF/CHOIX/EX/HP/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,3915,A,Recherches études asiatiques,Final,2830 ,1,,,,Actif,P,1,Ve,12:30,15:29,2025-04-25,2025-04-25,2025-01-10,2025-04-25,Montréal,34,34,3,,,,,,,,  CAFF/CHOIX/EX/HP/J/LIBRE,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,AES,4005,A,Stage en milieu de travail,STG,2899 ,1,,,,Actif,P,1,,00:00,00:00,2025-01-08,2025-04-30,2025-01-08,2025-04-30,Montréal,34,34,1,N,,,,,,,  EX/EXTM/J/M/NON,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,ALL,1901,A,Allemand 1 (niveau A1.1),TH,2025 ,1,,,,Actif,P,1,Lu Me,15:30,18:29,2025-01-08,2025-02-17,2025-01-08,2025-03-24,Montréal,999,32,3,N,,,,,,,  CHOIX/EXCP/HP/J/LIBRE/MAS,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,ALL,1901,A,Allemand 1 (niveau A1.1),Final,2025 ,1,,,,Actif,P,1,Me,15:30,18:29,2025-02-19,2025-02-19,2025-01-08,2025-03-24,Montréal,999,32,3,,,,,,,,  CHOIX/EXCP/HP/J/LIBRE/MAS,
03 ,Arts et sciences,0301,Direction Arts et sciences,1CYC,ALL,1901,A,Allemand 1 (niveau A1.1),Final,2025 ,1,,,,Actif,P,1,Lu,15:30,18:29,2025-03-24,2025-03-24,2025-01-08,2025-03-24,Montréal,999,32,3,,,,,,,,  CHOIX/EXCP/HP/J/LIBRE/MAS,
